Munnar,Kerala,India,Trivandrum,Kerala,280,07:30,,0
Kumarakom,Kerala,India,Trivandrum,Kerala,163,04:30,,1
Vazhoor,Kerala,India,Trivandrum,Kerala,149,04:00,,1
Teekoy,Kerala,India,Trivandrum,Kerala,181,05:00,,1
Kochi,Kerala,India,Vazhoor,Kerala,88,03:00,,1
Kovalam,Kerala,India,Vazhoor,Kerala,170,04:30,,1
Mararikulam,Kerala,India,Vazhoor,Kerala,66,02:00,,1
Trivandrum,Kerala,India,Vazhoor,Kerala,149,04:00,,1
Thekkady,Kerala,India,Vazhoor,Kerala,88,02:30,,1
Kothamangalam,Kerala,India,Vazhoor,Kerala,81,02:30,,1
Munnar,Kerala,India,Vazhoor,Kerala,133,04:00,,1
Thrissur,Kerala,India,Vazhoor,Kerala,170,04:30,,1
Palakkad,Kerala,India,Vazhoor,Kerala,191,05:00,,1
Meppadi,Kerala,India,Vazhoor,Kerala,331,09:30,,0
Kozhikode,Kerala,India,Vazhoor,Kerala,254,07:00,,0
Sultan Battery,Kerala,India,Vazhoor,Kerala,321,09:00,,0
Kumarakom,Kerala,India,Vazhoor,Kerala,42,01:30,,1
Alleppey,Kerala,India,Vazhoor,Kerala,43,01:30,,1
Neeleshwar,Kerala,India,Vazhoor,Kerala,403,11:00,,0
Bekal,Kerala,India,Vazhoor,Kerala,428,11:30,,0
Teekoy,Kerala,India,Vazhoor,Kerala,42,01:30,,1
Vazhoor,Kerala,India,Thekkady,Kerala,88,02:30,,1
Mararikulam,Kerala,India,Thekkady,Kerala,147,04:30,,1
Munnar,Kerala,India,Thekkady,Kerala,85,03:00,,1
Kodaikanal,Tamil Nadu,India,Thekkady,Kerala,144,04:00,,1
Kumarakom,Kerala,India,Thekkady,Kerala,125,04:00,,1
Kovalam,Kerala,India,Thekkady,Kerala,228,06:30,,1
Dindigul,Tamil Nadu,India,Thekkady,Kerala,129,03:30,,1
Madurai,Tamil Nadu,India,Thekkady,Kerala,134,03:30,,1
Trivandrum,Kerala,India,Thekkady,Kerala,206,05:30,,1
Teekoy,Kerala,India,Thekkady,Kerala,60,02:30,,1
Thrissur,Kerala,India,Thekkady,Kerala,223,06:30,,1
Meppadi,Kerala,India,Thekkady,Kerala,385,11:00,,0
Neeleshwar,Kerala,India,Thekkady,Kerala,459,13:00,,0
Bekal,Kerala,India,Thekkady,Kerala,479,13:30,,0
Alleppey,Kerala,India,Thekkady,Kerala,130,04:00,,1
Kochi,Kerala,India,Thekkady,Kerala,161,05:00,,1
Sultan Battery,Kerala,India,Thekkady,Kerala,372,11:00,,0
Kothamangalam,Kerala,India,Thekkady,Kerala,124,04:00,,1
Palakkad,Kerala,India,Thekkady,Kerala,243,06:30,,0
Kozhikode,Kerala,India,Thekkady,Kerala,308,09:00,,0
Sultan Battery,Kerala,India,Vythiri,Kerala,49,02:00,,1
Meppadi,Kerala,India,Vythiri,Kerala,35,01:30,,1
Teekoy,Kerala,India,Vythiri,Kerala,302,08:30,,0
Mysore,Karnataka,India,Vythiri,Kerala,160,04:00,,1
Neeleshwar,Kerala,India,Vythiri,Kerala,203,06:00,,1
Kochi,Kerala,India,Vythiri,Kerala,240,07:00,,1
Mararikulam,Kerala,India,Vythiri,Kerala,272,08:00,,0
Kumarakom,Kerala,India,Vythiri,Kerala,275,08:00,,0
Kovalam,Kerala,India,Vythiri,Kerala,448,11:30,,0
Trivandrum,Kerala,India,Vythiri,Kerala,432,11:30,,0
Thekkady,Kerala,India,Vythiri,Kerala,357,10:30,,0
Kothamangalam,Kerala,India,Vythiri,Kerala,244,07:30,,0
Palakkad,Kerala,India,Vythiri,Kerala,167,05:30,,1
Alleppey,Kerala,India,Vythiri,Kerala,298,09:00,,0
Kozhikode,Kerala,India,Vythiri,Kerala,58,02:30,,1
Munnar,Kerala,India,Vythiri,Kerala,315,09:00,,0
Bangalore,Karnataka,India,Vythiri,Kerala,298,07:30,,0
Vazhoor,Kerala,India,Vythiri,Kerala,305,09:00,,0
Bekal,Kerala,India,Vythiri,Kerala,204,07:00,,1
Bandipur,Karnataka,India,Vythiri,Kerala,116,03:30,,1
Thrissur,Kerala,India,Vythiri,Kerala,148,05:00,,1
Coonoor,Tamil Nadu,India,Vythiri,Kerala,153,05:00,,1
Siddhapura,Karnataka,India,Vythiri,Kerala,131,04:00,,1
Madikeri,Karnataka,India,Vythiri,Kerala,151,05:00,,1
Nagarhole,Karnataka,India,Vythiri,Kerala,83,03:00,,1
Ootacamund,Tamil Nadu,India,Vythiri,Kerala,131,04:30,,1
Nagarhole,Karnataka,India,Mangalore,Karnataka,267,06:30,,1
Hassan,Karnataka,India,Mangalore,Karnataka,169,05:00,,1
Chikmagalur,Karnataka,India,Mangalore,Karnataka,122,03:30,,1
Hampi,Karnataka,India,Mangalore,Karnataka,408,10:00,,0
Hospet,Karnataka,India,Mangalore,Karnataka,389,09:30,,0
Bangalore,Karnataka,India,Mangalore,Karnataka,351,08:30,,0
Gulbarga,Karnataka,India,Mangalore,Karnataka,687,15:00,,0
Vijayapura,Karnataka,India,Mangalore,Karnataka,556,12:00,,0
Mysore,Karnataka,India,Mangalore,Karnataka,252,06:00,,1
Bandipur,Karnataka,India,Mangalore,Karnataka,330,08:00,,0
Siddhapura,Karnataka,India,Mangalore,Karnataka,168,04:30,,1
