state,city,organisation,description,costservices_id,addressbook_id,services_id,wef,remarks,tourleaderfree,servicecharges,agentcharges,commissionontransport,cities_id,costservicesdistinct_id,costservicesentrancefees_id,costservices_id,frompax,topax,cost,tourleaderfree,remarks,currencies_id,resident,SpecialGst,nett
Madhya Pradesh,Indore,Rai Travels Pvt Ltd,Half day city tour of Indore,7244,2274,00:00.0,2019-10-01T00:00:00,Museum & Lal Bagh Palace closed on Mondays & National Holidays  Open from 10 am to 5 pm,,0,0,0,159,1241,2966,7244,1,35,600,0,,13,2,,0
Madhya Pradesh,Indore,Rai Travels Pvt Ltd,Half day city tour of Indore,7244,2274,00:00.0,2019-10-01T00:00:00,Museum & Lal Bagh Palace closed on Mondays & National Holidays  Open from 10 am to 5 pm,,0,0,0,159,1241,2967,7244,1,35,60,0,,13,1,,0
Madhya Pradesh,Indore,Rai Travels Pvt Ltd,Full day excursion to Mandu,7245,2274,00:00.0,2019-10-01T00:00:00,,,0,0,0,159,1242,2968,7245,1,35,900,0,,13,2,,0
Madhya Pradesh,Indore,Rai Travels Pvt Ltd,Full day excursion to Mandu,7245,2274,00:00.0,2019-10-01T00:00:00,,,0,0,0,159,1242,2969,7245,1,35,45,0,,13,1,,0
Madhya Pradesh,Bhopal,Rai Travels Pvt Ltd,Full-day excursion to Sanchi & Udaigiri,7238,2274,00:00.0,2019-10-01T00:00:00,Sanchi Museum Open from 10 am to 5 pm; closed on Fridays and National Holidays.  Videsha Museum Open from 10 am to 5 pm; closed on Mondays and National Holidays.  Sanchi Stupas open all year round from sunrise to sunset.,,0,0,0,48,1078,2960,7238,1,35,600,0,Sanchi Stupas,13,2,,0
Madhya Pradesh,Bhopal,Rai Travels Pvt Ltd,Full-day excursion to Sanchi & Udaigiri,7238,2274,00:00.0,2019-10-01T00:00:00,Sanchi Museum Open from 10 am to 5 pm; closed on Fridays and National Holidays.  Videsha Museum Open from 10 am to 5 pm; closed on Mondays and National Holidays.  Sanchi Stupas open all year round from sunrise to sunset.,,0,0,0,48,1078,2961,7238,1,35,30,0,Sanchi Stupas,13,1,,0
Madhya Pradesh,Bhopal,Rai Travels Pvt Ltd,Full-day excursion to Sanchi & Udaigiri,7238,2274,00:00.0,2019-10-01T00:00:00,Sanchi Museum Open from 10 am to 5 pm; closed on Fridays and National Holidays.  Videsha Museum Open from 10 am to 5 pm; closed on Mondays and National Holidays.  Sanchi Stupas open all year round from sunrise to sunset.,,0,0,0,48,1078,2962,7238,1,35,100,0,Vidisha Museum,13,2,,0
Madhya Pradesh,Bhopal,Rai Travels Pvt Ltd,Full-day excursion to Sanchi & Udaigiri,7238,2274,00:00.0,2019-10-01T00:00:00,Sanchi Museum Open from 10 am to 5 pm; closed on Fridays and National Holidays.  Videsha Museum Open from 10 am to 5 pm; closed on Mondays and National Holidays.  Sanchi Stupas open all year round from sunrise to sunset.,,0,0,0,48,1078,2963,7238,1,35,10,0,Vidisha Museum,13,2,,0
Madhya Pradesh,Bhopal,Rai Travels Pvt Ltd,Half-day excursion to Bhimbetika,7239,2274,00:00.0,2019-10-01T00:00:00,Bhimbetka open all year round from sunrise to sunset.,,0,0,0,48,1079,2964,7239,1,35,100,0,,13,2,,0
Madhya Pradesh,Bhopal,Rai Travels Pvt Ltd,Half-day excursion to Bhimbetika,7239,2274,00:00.0,2019-10-01T00:00:00,Bhimbetka open all year round from sunrise to sunset.,,0,0,0,48,1079,2965,7239,1,35,50,0,,13,1,,0
