state,city,organisation,description,costservices_id,addressbook_id,services_id,wef,remarks,tourleaderfree,servicecharges,agentcharges,commissionontransport,cities_id,costservicesdistinct_id,costservicesguides_id,costservices_id,frompax,topax,cost,tourleaderfree,remarks,currencies_id,resident,SpecialGst,nett
Maharashtra,Mumbai,Garha Tours & Travels,Mumbai heritage walk (from suburban hotel),7381,2216,1015,2019-10-01T00:00:00,For Mumbai Heritage Walk (from city hotel) we need to quote based on the Guide + Local Taxi  The cost for this menentioned in Miscellaneous Costs are approximate amounts.,,0,0,0,60,1358,4986,7381,1,5,2420,0,,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Mumbai heritage walk (from suburban hotel),7381,2216,1015,2019-10-01T00:00:00,For Mumbai Heritage Walk (from city hotel) we need to quote based on the Guide + Local Taxi  The cost for this menentioned in Miscellaneous Costs are approximate amounts.,,0,0,0,60,1358,4987,7381,6,14,3135,0,,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Mumbai heritage walk (from suburban hotel),7381,2216,1015,2019-10-01T00:00:00,For Mumbai Heritage Walk (from city hotel) we need to quote based on the Guide + Local Taxi  The cost for this menentioned in Miscellaneous Costs are approximate amounts.,,0,0,0,60,1358,4988,7381,15,40,4180,0,,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half-day city tour of Mumbai,7377,2216,282,2019-10-01T00:00:00,,,0,0,0,60,1071,4974,7377,1,5,1980,0,,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half-day city tour of Mumbai,7377,2216,282,2019-10-01T00:00:00,,,0,0,0,60,1071,4975,7377,6,14,2420,0,,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half-day city tour of Mumbai,7377,2216,282,2019-10-01T00:00:00,,,0,0,0,60,1071,4976,7377,15,35,3190,0,,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half day city tour of Mumbai (from suburban hotel),7378,2216,281,2019-10-01T00:00:00,,,0,0,0,60,1072,4977,7378,1,5,2420,0,,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half day city tour of Mumbai (from suburban hotel),7378,2216,281,2019-10-01T00:00:00,,,0,0,0,60,1072,4978,7378,6,14,3135,0,,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half day city tour of Mumbai (from suburban hotel),7378,2216,281,2019-10-01T00:00:00,,,0,0,0,60,1072,4979,7378,15,35,4180,0,,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half day excursion to Elephanta (from city hotel),7379,2216,284,2019-10-01T00:00:00,,,0,0,0,60,1350,4980,7379,1,5,2420,0,,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half day excursion to Elephanta (from city hotel),7379,2216,284,2019-10-01T00:00:00,,,0,0,0,60,1350,4981,7379,6,14,3135,0,,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Half day excursion to Elephanta (from city hotel),7379,2216,284,2019-10-01T00:00:00,,,0,0,0,60,1350,4982,7379,15,35,4180,0,,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Mumbai heritage walk,7380,2216,1014,2019-10-01T00:00:00,For Mumbai Heritage Walk (from city hotel) we need to quote based on the Guide + Local Taxi  The cost for this menentioned in Miscellaneous Costs are approximate amounts.,,0,0,0,60,1357,4983,7380,1,5,1980,0,,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Mumbai heritage walk,7380,2216,1014,2019-10-01T00:00:00,For Mumbai Heritage Walk (from city hotel) we need to quote based on the Guide + Local Taxi  The cost for this menentioned in Miscellaneous Costs are approximate amounts.,,0,0,0,60,1357,4984,7380,6,14,2420,0,,13,4,,0
Maharashtra,Mumbai,Garha Tours & Travels,Mumbai heritage walk,7380,2216,1014,2019-10-01T00:00:00,For Mumbai Heritage Walk (from city hotel) we need to quote based on the Guide + Local Taxi  The cost for this menentioned in Miscellaneous Costs are approximate amounts.,,0,0,0,60,1357,4985,7380,15,40,3190,0,,13,4,,0
Maharashtra,Aurangabad,JK Tours and Travels,Full-day excursion to Ajanta,6918,3145,68,2019-10-01T00:00:00,,,,0,0,173,,4964,6918,1,5,3883,0,,13,4,,0
Maharashtra,Aurangabad,JK Tours and Travels,Full-day excursion to Ajanta,6918,3145,68,2019-10-01T00:00:00,,,,0,0,173,,4965,6918,6,14,4543,0,,13,4,,0
Maharashtra,Aurangabad,JK Tours and Travels,Full-day excursion to Ajanta,6918,3145,68,2019-10-01T00:00:00,,,,0,0,173,,4966,6918,15,35,5478,0,,13,4,,0
Maharashtra,Aurangabad,JK Tours and Travels,Half-day city tour of Aurangabad,6919,3145,286,2019-10-01T00:00:00,,,,0,0,173,,4970,6919,1,5,1760,0,,13,4,,0
Maharashtra,Aurangabad,JK Tours and Travels,Half-day city tour of Aurangabad,6919,3145,286,2019-10-01T00:00:00,,,,0,0,173,,4971,6919,6,14,2200,0,,13,4,,0
Maharashtra,Aurangabad,JK Tours and Travels,Half-day city tour of Aurangabad,6919,3145,286,2019-10-01T00:00:00,,,,0,0,173,,4972,6919,15,35,2915,0,,13,4,,0
Maharashtra,Aurangabad,JK Tours and Travels,Half-day excursion to Ellora,6920,3145,67,2019-10-01T00:00:00,,,,0,0,173,,4967,6920,1,5,2200,0,,13,4,,0
Maharashtra,Aurangabad,JK Tours and Travels,Half-day excursion to Ellora,6920,3145,67,2019-10-01T00:00:00,,,,0,0,173,,4968,6920,6,14,2860,0,,13,4,,0
Maharashtra,Aurangabad,JK Tours and Travels,Half-day excursion to Ellora,6920,3145,67,2019-10-01T00:00:00,,,,0,0,173,,4969,6920,15,35,3795,0,,13,4,,0
Madhya Pradesh,Orchha,Colleague Tours Pvt. Ltd.,Half-day tour of Orchha,7308,2136,935,2019-10-01T00:00:00,,,0,0,0,312,1189,4949,7308,1,5,1800,0,,13,4,,0
Madhya Pradesh,Orchha,Colleague Tours Pvt. Ltd.,Half-day tour of Orchha,7308,2136,935,2019-10-01T00:00:00,,,0,0,0,312,1189,4950,7308,6,14,2200,0,,13,4,,0
Madhya Pradesh,Orchha,Colleague Tours Pvt. Ltd.,Half-day tour of Orchha,7308,2136,935,2019-10-01T00:00:00,,,0,0,0,312,1189,4951,7308,15,35,2900,0,,13,4,,0
Madhya Pradesh,Orchha,Colleague Tours Pvt. Ltd.,Full day tour of Orchha,7309,2136,936,2019-10-01T00:00:00,,,0,0,0,312,1190,4952,7309,1,5,2200,0,,13,4,,0
Madhya Pradesh,Orchha,Colleague Tours Pvt. Ltd.,Full day tour of Orchha,7309,2136,936,2019-10-01T00:00:00,,,0,0,0,312,1190,4953,7309,6,14,2850,0,,13,4,,0
Madhya Pradesh,Orchha,Colleague Tours Pvt. Ltd.,Full day tour of Orchha,7309,2136,936,2019-10-01T00:00:00,,,0,0,0,312,1190,4954,7309,15,35,3800,0,,13,4,,0
Madhya Pradesh,Bhopal,Radiant Travels Pvt Ltd,Half-day city tour of Bhopal,7297,1340,500,2019-10-01T00:00:00,,,,0,0,48,,4935,7297,1,5,1600,0,,13,4,,0
Madhya Pradesh,Bhopal,Radiant Travels Pvt Ltd,Half-day city tour of Bhopal,7297,1340,500,2019-10-01T00:00:00,,,,0,0,48,,4936,7297,6,14,2000,0,,13,4,,0
Madhya Pradesh,Bhopal,Radiant Travels Pvt Ltd,Half-day city tour of Bhopal,7297,1340,500,2019-10-01T00:00:00,,,,0,0,48,,4937,7297,15,35,2650,0,,13,4,,0
Madhya Pradesh,Jabalpur,Radiant Travels Pvt Ltd,Half-day city tour and visit to the Marble Rocks,7298,1340,946,2019-10-01T00:00:00,,0,0,0,0,175,530,4938,7298,1,35,600,0,,13,4,,0
Madhya Pradesh,Bhopal,Radiant Travels Pvt Ltd,Half-day excursion to Bhimbetika,7291,1340,512,2019-10-01T00:00:00,,0,,0,10,48,351,4929,7291,1,5,2000,0,,13,4,,0
Madhya Pradesh,Bhopal,Radiant Travels Pvt Ltd,Half-day excursion to Bhimbetika,7291,1340,512,2019-10-01T00:00:00,,0,,0,10,48,351,4930,7291,6,14,2600,0,,13,4,,0
